,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A
0,5G__uMax,3.219646771412954e-15,3.6203489995015676,12.0,0.0,-5.026628181193565,1.0,-5.359986733781189,22.0,-1.430464908156932,23.0,-1.4684253520477402,24.0,3.734475638298088,25.0,-3.5217653207407973,26.0,-2.664419877216017,27.0,2.30995535274252,28.0,2.4451907382711378,29.0,4.368220351709548,30.0,3.6683632484473097,31.0,2.9454850436676754
1,5G__lowO2_fast_growth,2.5571047700635074,3.2244550827157012,12.0,2.0,-1.693128798065505,3.0,-2.462294439535296,17.0,7.116701472779373,18.0,3.570740042654923,19.0,3.2411315262910456,20.0,6.26527584855426,21.0,6.201193384887604,32.0,0.970269253134055,33.0,0.9356707488480964,34.0,5.468123137848063,35.0,0.5074423506326832,36.0,0.5641327127327848
2,5G__lowCH4,-0.07046598153050787,1.21025585382033,8.0,4.0,0.8310449100036367,5.0,1.3121755482740818,6.0,-1.1704455013515394,7.0,-1.1002982342648218,8.0,1.2713896235108373,9.0,0.7022200351920258,10.0,-0.8263756137355339,11.0,-1.5834386198727493,,,,,,,,
3,5G__MeOH,1.8692145848847146,4.108415116020129,7.0,12.0,5.427904266174966,13.0,5.222741088832213,14.0,6.1457228595751765,15.0,-3.075005935202798,16.0,-3.996546868620269,37.0,1.404782990881905,38.0,1.9549036925518095,,,,,,,,,,
4,5G__NoCu,-3.3392247756724847,2.1310386886022363,3.0,39.0,-5.3432320329152985,46.0,-3.5738666407185806,47.0,-1.1005756533835758,,,,,,,,,,,,,,,,,,
5,5G__medCu,-5.895784263709912,4.858023688135131,7.0,40.0,-2.9295609763490558,50.0,-12.72212701677221,51.0,-13.144438360324502,52.0,-3.680446044920782,53.0,-4.1932203231734935,60.0,-2.3246341478675943,61.0,-2.276062976561747,,,,,,,,,,
6,5G__highCu,-3.8753279177073052,1.420889980486913,5.0,41.0,-2.8740190405909933,42.0,-3.21116954305832,43.0,-4.085168039055981,44.0,-2.9405336691702946,45.0,-6.265749296660938,,,,,,,,,,,,,,
7,5G__lowCu,-1.3886098970374503,1.849367410147444,8.0,48.0,-2.467287061514171,49.0,-2.7234119551916667,54.0,-0.5214883932739397,55.0,2.2782294677254504,56.0,-2.385320256720489,57.0,-3.2694201942432004,58.0,-2.0052874041645623,59.0,-0.0148933789170243,,,,,,,,
8,5G__highO2_slow_growth,-1.4029227524796637,2.0413592802813803,4.0,62.0,-0.1040311344648012,63.0,-3.5455141666853094,64.0,0.7317772641242837,65.0,-2.693922972892828,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,0.7122432501927859,1.1707523398923394,4.0,66.0,1.4109406850517654,67.0,1.9818849152437832,68.0,-0.0787480726493002,69.0,-0.4651045268751045,,,,,,,,,,,,,,,,
10,5G__LanzaTech,6.821137073384039,0.17807295979175,2.0,70.0,6.947053670798744,71.0,6.695220475969332,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,-4.3831058663046845,3.2882430562982106,5.0,72.0,1.3110250053280783,78.0,-4.475185644165005,79.0,-6.156428076674275,82.0,-6.712386219553117,83.0,-5.882554396459106,,,,,,,,,,,,,,
12,5G__NoLanthanum,-4.033440094286347,2.910691697643136,5.0,73.0,0.4167442770307635,80.0,-5.328363939192307,81.0,-3.968808906527903,84.0,-3.743450766138034,85.0,-7.543321136604256,,,,,,,,,,,,,,
13,5G__aa3_KO,-3.5714680334146647,1.6847909252024198,2.0,74.0,-4.762795121506853,75.0,-2.380140945322476,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,3.2684787065583016,0.9426644554612492,2.0,76.0,2.6019142777181283,77.0,3.9350431353984754,,,,,,,,,,,,,,,,,,,,
