,-0.11950752805552764,-0.10243502404759512,-0.0853625200396626,-0.06829001603173009,-0.05121751202379757,-0.03414500801586505,-0.017072504007932532,-1.3877787807814457e-17,0.017072504007932504,0.034145008015865036,0.05121751202379754,0.06829001603173004,0.08536252003966258,0.10243502404759511,0.11950752805552761,0.13658003206346012,0.15365253607139265,0.17072504007932518,0.1877975440872577,0.2048700480951902
thresh,-0.0426812600198313,0.0426812600198313,1,,,,,,,,,,,,,,,,,
unreg,1,0,4,9,18,92,830,2364,739,114,25,6,3,4,2,1,1,0,0,0
unreg_genes,[nan],[],[nan nan nan nan],[nan nan nan nan nan nan nan nan nan],"['nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nifL' 'nan' 'ureE' 'nan'
 'nan' 'nan' 'nan' 'rsxA' 'nan' 'greA']",[],[],[],[],[],"['nan' 'nan' 'nan' 'nan' 'nan' 'flgG' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan'
 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan'
 'nan']",[nan nan nan nan nan nan],[nan nan nan],[nan nan nan nan],[nan nan],[nan],[nan],[],[],[]
