,-0.1790470249018028,-0.12789073207271628,-0.07673443924362977,-0.025578146414543257,0.025578146414543257,0.07673443924362977,0.12789073207271628,0.1790470249018028,0.2302033177308893,0.2813596105599758,0.33251590338906234,0.38367219621814885,0.43482848904723537,0.4859847818763219,0.5371410747054084,0.5882973675344949,0.6394536603635814,0.6906099531926679,0.7417662460217544,0.792922538850841
thresh,-0.20462517131634606,0.20462517131634606,1,,,,,,,,,,,,,,,,,
unreg,0,2,7,2213,1976,12,1,0,0,1,0,0,0,0,0,0,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[nan],[],[],[],[],[],[],[nan],[],[],[]
