,-0.13562006998154913,-0.11301672498462427,-0.09041337998769941,-0.06781003499077455,-0.04520668999384969,-0.022603344996924832,2.7755575615628914e-17,0.0226033449969249,0.04520668999384975,0.06781003499077459,0.09041337998769947,0.11301672498462434,0.13562006998154919,0.15822341497847403,0.18082675997539893,0.20343010497232378,0.22603344996924862,0.24863679496617347,0.2712401399630983,0.2938434849600232
thresh,-0.10171505248616185,0.10171505248616185,1,,,,,,,,,,,,,,,,,
unreg,1,0,2,7,39,504,3130,483,31,3,4,4,0,0,1,0,2,2,0,0
unreg_genes,[nan],[],[],[],[],[],[],[],[],[],[],[nan nan nan nan],[],[],[nan],[],[nan nan],[nan nan],[],[]
