,-0.12291266081968849,-0.09218449561476637,-0.061456330409844245,-0.030728165204922123,0.0,0.03072816520492211,0.061456330409844245,0.09218449561476638,0.12291266081968849,0.1536408260246106,0.1843689912295327,0.21509715643445487,0.24582532163937698,0.2765534868442991,0.30728165204922125,0.33800981725414336,0.36873798245906547,0.39946614766398764,0.4301943128689097,0.46092247807383185
thresh,-0.0768204130123053,0.0768204130123053,1,,,,,,,,,,,,,,,,,
unreg,2,3,13,206,3756,208,13,5,3,2,0,0,0,0,0,2,0,0,0,0
unreg_genes,[nan nan],[nan nan nan],[],[],[],[],[],[nan nan nan nan nan],['cydX' 'cas2' 'nan'],['nan' 'lexA'],[],[],[],[],[],[nan nan],[],[],[],[]
