,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X
0,5G__uMax,6.47630097698008e-17,0.3239701428483447,12.0,0.0,-0.6062093273228788,1.0,-0.6800057252832854,22.0,-0.1819820095033693,23.0,-0.0098785284485947,24.0,0.2080109467209787,25.0,0.1230917055410456,26.0,0.1859083662501275,27.0,0.1637928419754741,28.0,0.1929946732847955,29.0,0.1101066192778237,30.0,0.2390897156731917,31.0,0.255080721834692
1,5G__lowO2_fast_growth,-0.3365762854657628,0.22120801512420546,12.0,2.0,-0.8923930284758619,3.0,-0.4461463510708876,17.0,-0.5275411571263691,18.0,-0.2894062948595994,19.0,-0.2516465271234356,20.0,-0.0613254877301772,21.0,-0.1035513136257773,32.0,-0.199844679155607,33.0,-0.3018945171916245,34.0,-0.437619765499508,35.0,-0.2817587932835659,36.0,-0.2457875104467399
2,5G__lowCH4,-0.8311386338230505,0.2504247782191231,8.0,4.0,-0.8754353026446688,5.0,-0.921853212799742,6.0,-0.8710378438279918,7.0,-0.8949734810248815,8.0,-0.4531600960873367,9.0,-0.4520783280682625,10.0,-1.1239100668793842,11.0,-1.0566607392521368,,,,,,,,
3,5G__MeOH,-1.1993925911969343,0.161517423681024,7.0,12.0,-1.2417601692157136,13.0,-1.1193803405037874,14.0,-1.0374830039746294,15.0,-1.4145758158423645,16.0,-1.4183284011565993,37.0,-1.0956851206779783,38.0,-1.0685352870074674,,,,,,,,,,
4,5G__NoCu,-0.4317715773325661,0.3122042844783869,3.0,39.0,-0.7921250726294637,46.0,-0.2426207521748082,47.0,-0.2605689071934263,,,,,,,,,,,,,,,,,,
5,5G__medCu,-0.6387004562747399,0.14690158476217866,7.0,40.0,-0.7369298490704805,50.0,-0.8418270712852882,51.0,-0.6950520703038263,52.0,-0.7061080312666812,53.0,-0.5675445034156548,60.0,-0.5013755307756016,61.0,-0.4220661378056469,,,,,,,,,,
6,5G__highCu,-0.4586924410971884,0.08409645525172692,5.0,41.0,-0.5399249112237179,42.0,-0.417228919114291,43.0,-0.5574203737887871,44.0,-0.4072347228605046,45.0,-0.3716532784986412,,,,,,,,,,,,,,
7,5G__lowCu,-0.3840279783936268,0.2258620967140289,8.0,48.0,-0.2934362293659518,49.0,-0.1685349103938316,54.0,-0.1734496201192978,55.0,-0.5285797626137665,56.0,-0.4587664127449606,57.0,-0.3679117803437615,58.0,-0.2389200040382251,59.0,-0.8426251075292193,,,,,,,,
8,5G__highO2_slow_growth,0.07226899702857503,0.4107772089312316,4.0,62.0,0.3296480790026299,63.0,-0.3730532887707509,64.0,0.5009019891049107,65.0,-0.1684207912224895,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,-0.26471175689094184,0.09122462251236489,4.0,66.0,-0.1485457735741642,67.0,-0.2474423278591091,68.0,-0.3651230957293663,69.0,-0.2977358304011277,,,,,,,,,,,,,,,,
10,5G__LanzaTech,0.2041393024223272,0.04814373709032568,2.0,70.0,0.1700965394540956,71.0,0.2381820653905588,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,-0.07780918353095852,0.23697541001963507,5.0,72.0,-0.494789396072866,78.0,0.0414961783955689,79.0,0.0754524719805038,82.0,-0.0417023939411436,83.0,0.0304972219831443,,,,,,,,,,,,,,
12,5G__NoLanthanum,0.04965434307739576,0.14316833877912752,5.0,73.0,-0.1890701913556487,80.0,0.1304331025638401,81.0,0.1439239631639592,84.0,0.1429741005857625,85.0,0.0200107404290657,,,,,,,,,,,,,,
13,5G__aa3_KO,-1.0246256096698243,0.1399162546936931,2.0,74.0,-1.1235613421619588,75.0,-0.9256898771776898,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,-0.1004162589661006,0.08018903138665366,2.0,76.0,-0.1571184668363843,77.0,-0.0437140510958169,,,,,,,,,,,,,,,,,,,,
