,-0.12459301616844527,-0.09344476212633396,-0.06229650808422264,-0.03114825404211133,-1.3877787807814457e-17,0.031148254042111287,0.062296508084222615,0.09344476212633394,0.12459301616844524,0.15574127021055656,0.18688952425266786,0.21803777829477922,0.24918603233689052,0.2803342863790018,0.3114825404211132,0.3426307944632245,0.3737790485053358,0.4049273025474471,0.4360755565895584,0.4672238106316697
thresh,-0.0778706351052783,0.0778706351052783,1,,,,,,,,,,,,,,,,,
unreg,1,2,16,238,3724,201,13,5,11,0,0,0,1,0,0,0,1,0,0,0
unreg_genes,[nan],[nan nan],[],[],[],[],[],['fliS' 'nan' 'nan' 'nan' 'nan'],['nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'shc' 'hpnH' 'nan' 'nan' 'nan'],[],[],[],['coxB'],[],[],[],['ctaD'],[],[],[]
