,0
gene_id,EQU24_RS21465
name,<i>Not Available</i>
operon,89
gene_product,methyl-accepting chemotaxis protein
cog,Cell motility
regulator,<i>Not Available</i>
link,"<a href=""https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS21465"">BioCyc</a>"
