,-0.3966543892999234,-0.3399894765427915,-0.28332456378565957,-0.22665965102852764,-0.16999473827139572,-0.1133298255142638,-0.05666491275713187,5.551115123125783e-17,0.05666491275713198,0.1133298255142639,0.16999473827139583,0.22665965102852775,0.2833245637856597,0.3399894765427916,0.3966543892999235,0.45331930205705545,0.5099842148141873,0.5666491275713192,0.6233140403284512,0.6799789530855831
thresh,-0.4249868456784894,0.4249868456784894,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,1,1,28,4138,38,3,1,1,1,0,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[nan],[],[]
