,-0.2221055825220617,-0.1903762135903386,-0.1586468446586155,-0.1269174757268924,-0.09518810679516931,-0.06345873786344622,-0.03172936893172312,-2.7755575615628914e-17,0.03172936893172307,0.06345873786344614,0.09518810679516926,0.12691747572689238,0.15864684465861545,0.19037621359033852,0.22210558252206164,0.25383495145378476,0.28556432038550783,0.3172936893172309,0.34902305824895397,0.38075242718067714
thresh,-0.23797026698792323,0.23797026698792323,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,1,1,41,4129,22,4,0,0,4,1,3,2,0,1,3,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['mxaS' 'moxR'],[],['moxI'],['moxG' 'moxJ' 'moxF'],[]
