,-0.13348989064741906,-0.11295298439396997,-0.09241607814052089,-0.0718791718870718,-0.05134226563362271,-0.03080535938017362,-0.01026845312672453,0.010268453126724558,0.030805359380173647,0.051342265633622736,0.07187917188707182,0.09241607814052091,0.11295298439397,0.13348989064741906,0.15402679690086818,0.1745637031543173,0.19510060940776636,0.21563751566121542,0.23617442191466453,0.25671132816811365
thresh,-0.08214762501379635,0.08214762501379635,1,,,,,,,,,,,,,,,,,
unreg,1,0,1,2,10,82,2235,1743,91,18,6,5,5,6,2,3,3,0,0,0
unreg_genes,[nan],[],[nan],[],[],[],[],[],[],[],[],[nan nan nan nan nan],[nan nan nan nan nan],[nan nan nan nan nan nan],['nan' 'cheB'],[nan nan nan],[nan nan nan],[],[],[]
