,-0.2946665280336126,-0.24933321602844144,-0.20399990402327028,-0.15866659201809913,-0.11333328001292797,-0.06799996800775682,-0.02266665600258566,0.022666656002585495,0.06799996800775665,0.1133332800129278,0.15866659201809896,0.20399990402327012,0.24933321602844127,0.2946665280336124,0.3399998400387836,0.3853331520439548,0.4306664640491259,0.475999776054297,0.5213330880594682,0.5666664000646394
thresh,-0.3173331840361982,0.3173331840361982,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,2,18,2188,1976,22,6,0,0,0,0,0,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[nan],[]
