,-0.11185164000804977,-0.08699572000626093,-0.0621398000044721,-0.03728388000268326,-0.012427960000894425,0.012427960000894411,0.03728388000268325,0.0621398000044721,0.08699572000626092,0.11185164000804974,0.13670756000983858,0.16156348001162746,0.18641940001341628,0.2112753200152051,0.23613124001699398,0.2609871600187828,0.2858430800205716,0.31069900002236045,0.3355549200241493,0.36041084002593815
thresh,-0.1242796000089442,0.1242796000089442,1,,,,,,,,,,,,,,,,,
unreg,0,1,6,65,2148,1925,51,4,2,1,1,1,2,1,1,2,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[nan],['umuD'],[nan nan],[nan],[nan],[nan nan],[nan],[nan],[],[]
